2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 198.252.206.25 | Protocol: 6
2023-16-04/25/23 14:16:08 | 198.252.206.25 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 10.8.0.1 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-16-04/25/23 14:16:08 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 142.250.64.196 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 142.250.64.196 | Protocol: 17
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
